A;B;C;D
"Please correct the value for ""%1"" column.";"Ispravite vrednost za ""%1"" stupac.";module;Magento_ImportExport
Please specify the writer.;Odredite pisca.;module;Magento_ImportExport
The destination file path must be a string.;Putanja mora biti string.;module;Magento_ImportExport
The destination directory is not writable.;Putanja direktorija nije zapisiva.;module;Magento_ImportExport
Destination file is not writable;Putanja datoteke nije zapisiva.;module;Magento_ImportExport
The header column names are already set.;Već su postavljena imena zaglavlja stupaca.;module;Magento_ImportExport
in row(s);u redu/ovima;module;Magento_ImportExport
The validation is complete.;Provera je završena.;module;Magento_ImportExport
This file does not contain any data.;Datoteka ne sadrži podatke.;module;Magento_ImportExport
"Begin import of ""%1"" with ""%2"" behavior";"Započnite unos ""%1"" sa ""%2"" ponašanjem";module;Magento_ImportExport
The import was successful.;Unos je uspešan.;module;Magento_ImportExport
The file you uploaded has no extension.;Datoteka koju ste prenijeli nema ekstenziju.;module;Magento_ImportExport
The source file moving process failed.;Premeštanje izvorne datoteke nije uspelo.;module;Magento_ImportExport
Begin data validation;Započnite proveru podataka.;module;Magento_ImportExport
Import data validation is complete.;Završena je provera uvoza podataka.;module;Magento_ImportExport
The behavior token for %1 is invalid.;Ponašanje tokena %1 je nevažeće.;module;Magento_ImportExport
Please enter a correct entity model;Unesite tačan subjekt;module;Magento_ImportExport
Source file coping failed;Neuspešno kopiranje izvorne datoteke;module;Magento_ImportExport
The source is not set.;Nije postavljen izvor.;module;Magento_ImportExport
The adapter type must be a non-empty string.;Vrsta adapter mora biti ne-string.;module;Magento_ImportExport
%1' file extension is not supported;%1' ekstenzija datoteke nije podržana;module;Magento_ImportExport
Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource;Adapter mora biti instanca \Magento\ImportExport\Model\Import\AbstractSource;module;Magento_ImportExport
Please specify a source.;Odredite izvor.;module;Magento_ImportExport
ImportExport: Import Data validation - Validation strategy not found;UvozIzvoz: Uvezite proveru podataka - Strategija provere nije pronađena;module;Magento_ImportExport
Cannot get autoincrement value;Nije moguće dobiti vrednost samopovećanja;module;Magento_ImportExport
Error in data structure: %1 values are mixed;Greška u strukturi podataka: %1 pomešane su vrednosti;module;Magento_ImportExport
-- Please Select --;-- Odaberite --;module;Magento_ImportExport
label;oznaka;module;Magento_ImportExport
Add/Update;Dodajte /Ažurirajte;module;Magento_ImportExport
Replace;Zamenite;module;Magento_ImportExport
Delete;Uklonite;module;Magento_ImportExport
Note: Product IDs will be regenerated.;Beleška: ID proizvoda će biti ponovno postavljen;module;Magento_ImportExport
Add/Update Complex Data;Dodajte /Ažurirajte kompleksne podatke;module;Magento_ImportExport
Delete Entities;Uklonite subjekte;module;Magento_ImportExport
Custom Action;Proizvoljna radnja;module;Magento_ImportExport
Error message;Poruka s greškom;module;Magento_ImportExport
URL key for specified store already exists.;Već postoji URL ključ za ovu prodavnicu.;module;Magento_ImportExport
Entity Attributes;Atributi subjekta;module;Magento_ImportExport
Continue;Nastavite;module;Magento_ImportExport
Validation Results;Rezultati provere;module;Magento_ImportExport
Indexer Management;Upravljanje indeksom;module;Magento_Indexer
Update by Schedule;Ažurirajte prema rasporedu;module;Magento_Indexer
Update on Save;Ažurirajte kod spremanja;module;Magento_Indexer
Reindex required;Potrebno ponovno indeksiranje;module;Magento_Indexer
Ready;Spremno;module;Magento_Indexer
Processing;Obrađujem;module;Magento_Indexer
Never;Nikad;module;Magento_Indexer
%1 index is locked by another reindex process. Skipping.;%1 indeks je zaključan zbog drugog ponovnog indeksiranja. Preskačem.;module;Magento_Indexer
Index Management;Upravljanje indeksom;module;Magento_Indexer
Please select indexers.;Odaberite indeksere.;module;Magento_Indexer
"%1 indexer(s) are in ""Update by Schedule"" mode.";%1 indekser/i su u načinu ažuriranja prema rasporedu.;module;Magento_Indexer
We couldn't change indexer(s)' mode because of an error.;Nije moguće promeniti način indeksera zbog greške.;module;Magento_Indexer
"%1 indexer(s) are in ""Update on Save"" mode.";%1 indekser/i su u načinu ažuriranja na spremanju.;module;Magento_Indexer
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.";"Jedan ili više <a href=""%1"">nevaljanih indeksera</a>. Pripazite da <a href=""%2"" target=""_blank"">Magento cron </a> provodi posao.";module;Magento_Indexer
State for the same indexer;Stanje za istog indeksera;module;Magento_Indexer
State for the same view;Stanje za isti pogled;module;Magento_Indexer
Field '%1' not found;Polje '%1' nije pronađeno;module;Magento_Indexer
Some Exception Message;Neka poruka izuzetka;module;Magento_Indexer
Testni način;Testna fraza;module;Magento_Indexer
Integrations;Integracije;module;Magento_Integration
Add New Integration;Dodajte novu integraciju;module;Magento_Integration
API;API;module;Magento_Integration
Save;Spremite;module;Magento_Integration
Save & Activate;Spremite i aktivirajte;module;Magento_Integration
New Integration;Nova integracija;module;Magento_Integration
Edit Integration '%1';Uredite integraciju '%1';module;Magento_Integration
Integration Info;Podaci o integraciji;module;Magento_Integration
General;Opšte;module;Magento_Integration
Name;Naziv;module;Magento_Integration
Email;e-mail;module;Magento_Integration
Callback URL;Povratni URL;module;Magento_Integration
Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.;Unesite URL gde se Oauth podatak može poslati korišteći Oauth token za izmenu. Strogo preporučujemo korištenje https://.;module;Magento_Integration
Identity link URL;Identifikujte URL;module;Magento_Integration
URL to redirect user to link their 3rd party account with this Magento integration credentials.;URL za preusmjeravanje korisnika na račun treće strane sa integrisanim Magento podacima.;module;Magento_Integration
Current User Identity Verification;Trenutna provera identiteta korisnika;module;Magento_Integration
Your Password;Vaša lozinka;module;Magento_Integration
Integration Details;Detalji integracije;module;Magento_Integration
Basic Settings;Opšta podešavanja;module;Magento_Integration
Integration Tokens for Extensions;Integracija tokena za ekstenzije;module;Magento_Integration
Consumer Key;Ključ kupca;module;Magento_Integration
Consumer Secret;Tajna kupca;module;Magento_Integration
Access Token;Pristup tokenu;module;Magento_Integration
Access Token Secret;Pristup tajni tokena;module;Magento_Integration
Uninstall the extension to remove this integration;Uklonite ekstenzije kako bi uklonili integraciju;module;Magento_Integration
Remove;Uklonite;module;Magento_Integration
View;Pogled;module;Magento_Integration
Edit;Uredite;module;Magento_Integration
Activate;Aktivirajte;module;Magento_Integration
Reauthorize;Ponovno autorizujte;module;Magento_Integration
Uninstall the extension to remove integration '%1'.;Uklonite ekstenziju kako bi uklonili integraciju '%1'.;module;Magento_Integration
This integration no longer exists.;Integracija više ne postoji;module;Magento_Integration
The integration '%1' has been deleted.;Integracija '%1' je uklonjena.;module;Magento_Integration
Integration ID is not specified or is invalid.;ID integracije nije poseban ili valjan.;module;Magento_Integration
Internal error. Check exception log for details.;Interna pogreška. Proverite bilješku o grešci radi detalja.;module;Magento_Integration
"View ""%1"" Integration";"Pogledajte ""%1"" integraciju";module;Magento_Integration
"Edit ""%1"" Integration";"Uredite ""%1"" integraciju";module;Magento_Integration
Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information;Upozorenje! Integracije koje ne koriste HTTPS nisu sigurne i mogu potencijalno otkriti privatne ili osobne informacije;module;Magento_Integration
Cannot edit integrations created via config file.;Nije moguće ukloniti integracije stvorene putem konfiguracijske datoteke.;module;Magento_Integration
The integration '%1' has been saved.;Usnimljena integracija '%1'.;module;Magento_Integration
The integration was not saved.;Integracija nije usnimljena;module;Magento_Integration
The integration '%1' has been re-authorized.;Integracija '%1' je ponovno autorizovana.;module;Magento_Integration
The integration '%1' has been activated.;Integracija '%1' je aktivirana.;module;Magento_Integration
Integration '%1' has been sent for re-authorization.;Integracija '%1' je poslata na ponovnu autorizaciju.;module;Magento_Integration
Integration '%1' has been sent for activation.;Integracija '%1' je poslata na aktivaciju.;module;Magento_Integration
A consumer with ID %1 does not exist;Kupac sa ID-em %1 ne postoji;module;Magento_Integration
You did not sign in correctly or your account is temporarily disabled.;Trenutno niste prijavljeni ili je Vaš račun privremeno isključen;module;Magento_Integration
This user has no tokens.;Korisnik nema tokene.;module;Magento_Integration
The tokens could not be revoked.;Tokeni se ne mogu opozvati.;module;Magento_Integration
Sorry, something went wrong granting permissions. You can find out more in the exceptions log.;Dogodila se greška prilikom davanja dopuštenja. Više informacija možete dobiti u belešci sa izuzećima.;module;Magento_Integration
Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.;Dogodila se greška prilikom uklanjanja uloga i dopuštenja. Više informacija možete pronaći u belešci sa izuzećima.;module;Magento_Integration
%fieldName is a required field.;%fieldName je potrebno ispuniti.;module;Magento_Integration
This customer has no tokens.;Kupac nema tokene.;module;Magento_Integration
Inactive;Neaktivno;module;Magento_Integration
Active;Aktivno;module;Magento_Integration
Reset;Reset;module;Magento_Integration
Integration with name '%1' exists.;Integracija sa imenom '%1' već postoji.;module;Magento_Integration
Integration with ID '%1' does not exist.;Integracija sa ID-em '%1' ne postoji.;module;Magento_Integration
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.";"Jedna ili više <a href=""%1"">integracija</a> je resetovana zbog promjene u konfiguraciji njihovog xml-a.";module;Magento_Integration
Invalid Callback URL;Pogrešni povratni URL;module;Magento_Integration
Invalid Rejected Callback URL;Pogrešni odbijeni povratni URL;module;Magento_Integration
Incorrect timestamp value in the oauth_timestamp parameter;Netačna vremenska vrednost u oauth_timestamp parametru;module;Magento_Integration
The nonce is already being used by the consumer with ID %1;Nonce se već koristi od strane kupca sa ID-em %1;module;Magento_Integration
An error occurred validating the nonce;Dogodila se greška prilikom proveravanja nonce;module;Magento_Integration
Cannot convert to access token due to token is not request type;Nije moguće konvertirati ulaz u token jer token nije zadanog tipa;module;Magento_Integration
Consumer key has expired;Istekao je ključ kupca;module;Magento_Integration
Cannot create request token because consumer token is not a verifier token;Nije moguće stvoriti token za potražnju jer nije proveren token kupca;module;Magento_Integration
Request token is not associated with the specified consumer;Token za potražnju nije povezan sa kupcem;module;Magento_Integration
Token is already being used;Token se već koristi;module;Magento_Integration
Cannot get access token because consumer token is not a request token;Nije moguće pristupiti tokenu jer token kupca nije traženi token;module;Magento_Integration
Token is not associated with the specified consumer;Token nije povezan sa kupcem;module;Magento_Integration
Token is not an access token;Token nije pristupni token;module;Magento_Integration
Access token has been revoked;Pristupni je token opozvan;module;Magento_Integration
Consumer key is not the correct length;Ključ kupca nije ispravne dužine;module;Magento_Integration
A consumer having the specified key does not exist;Ne postoji kupac s ovim ključem;module;Magento_Integration
Verifier is invalid;Proveravač je nepravilan;module;Magento_Integration
Verifier is not the correct length;Proveravač nije tačne dužine;module;Magento_Integration
Token verifier and verifier token do not match;Proveravač tokena i token proveravač se ne podudaraju;module;Magento_Integration
A consumer with the ID %1 does not exist;Ne postoji kupac sa ID-em %1;module;Magento_Integration
Token is not the correct length;Token nije ispravne dužine;module;Magento_Integration
Specified token does not exist;Ovaj token ne postoji;module;Magento_Integration
A token with consumer ID %1 does not exist;Token sa ID-em kupca %1 ne postoji;module;Magento_Integration
Unexpected error. Unable to create oAuth consumer account.;Neočekivana greška. Nije moguće stvoriti oAuth račun kupca.;module;Magento_Integration
